id,id_productor,familiar_modif,sexo,edad,trabajo_modif,estudio_modif,ayuda_modif,migracion_modif,ganado_modif,created_at,updated_at,est_i
834,188,SOBRINO(A),HOMBRE,87,OTROS,NO ESTUDIA,AVECES,SI,0,05/07/2018 12:09,9/15/2017 21:17,1
836,189,PADRE,HOMBRE,57,OTROS,NO ESTUDIA,AVECES,SI,AVES DE CORRAL Y OVINOS-CAPRINOS,05/07/2018 12:09,9/16/2017 3:33,1
837,189,MADRE,MUJER,55,AMA DE CASA,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/16/2017 3:34,1
838,189,NUERA,MUJER,22,OTROS,NO ESTUDIA,AVECES,0,0,05/08/2018 15:02,9/16/2017 3:34,1
839,189,NIETO(A),HOMBRE,5,ESTUDIANTE,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/16/2017 3:35,1
841,190,MADRE,MUJER,59,CAMPESINO,NO ESTUDIA,AVECES,0,AVES DE CORRAL Y OVINOS-CAPRINOS,05/07/2018 12:09,9/16/2017 14:31,1
842,190,PADRE,HOMBRE,61,CAMPESINO,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/16/2017 14:35,1
843,192,PADRE,HOMBRE,65,TRABAJA EN TIENDA,NO ESTUDIA,NO,0,BOVINOS Y EQUINOS,05/07/2018 12:09,9/16/2017 15:03,1
844,192,MADRE,MUJER,59,TRABAJA EN TIENDA,NO ESTUDIA,SI,0,0,05/07/2018 12:09,9/16/2017 15:04,1
845,192,HIJO(A),MUJER,36,TRABAJA EN TIENDA,NO ESTUDIA,SI,0,0,05/07/2018 12:09,9/16/2017 15:05,1
846,193,PADRE,HOMBRE,69,CAMPESINO,NO ESTUDIA,SI,SI,0,05/07/2018 12:09,9/16/2017 15:41,1
847,193,PADRE,HOMBRE,69,CAMPESINO,NO ESTUDIA,SI,SI,0,05/07/2018 12:09,9/16/2017 15:41,1
848,193,MADRE,MUJER,68,ESTUDIANTE,NO ESTUDIA,AVECES,SI,AVES DE CORRAL Y OVINOS-CAPRINOS,05/07/2018 12:09,9/16/2017 15:42,1
849,193,MADRE,MUJER,68,ESTUDIANTE,NO ESTUDIA,AVECES,SI,AVES DE CORRAL Y OVINOS-CAPRINOS,05/07/2018 12:09,9/16/2017 15:42,1
850,193,HIJO(A),MUJER,41,OTROS,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/16/2017 15:45,1
851,193,HIJO(A),MUJER,41,OTROS,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/16/2017 15:45,1
852,193,HIJO(A),MUJER,38,OTROS,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/16/2017 15:46,1
853,193,HIJO(A),MUJER,38,OTROS,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/16/2017 15:46,1
854,193,NIETO(A),HOMBRE,9,OTROS,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/16/2017 15:46,1
855,193,NIETO(A),HOMBRE,9,OTROS,NO ESTUDIA,AVECES,0,0,05/07/2018 12:09,9/16/2017 15:46,1
856,194,PADRE,HOMBRE,75,TRABAJA EN TIENDA,NO ESTUDIA,SI,0,AVES DE CORRAL,05/07/2018 12:09,9/16/2017 16:42,1
