id,id_productor,compra_venta,articulos,TIPO ARTICULO,nombre_esp,nombre_len,lugar_obtencion,lugar_modif,frecuencia,frecuencia_modif,comentarios,created_at,updated_at,Freq_anual
1389,132,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,JAMÓN ,,tienda ,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 6 SEMANAS ,CADA 2 MESES,¼ JAMÓN  ,03/05/2018 15:27,09/08/2017 21:39,0.016438
1405,133,COMPRA,PESCADOS,Non,PESCADO,MKCHIMEJ ,rio/mercado ,RIO, CADA 6 SEMANAS,CADA 2 MESES, 1 KILO,03/05/2018 15:27,10/08/2017 00:13,0.016438
1436,135,COMPRA,MARISCOS,Non,"CAMARONES 	 	",KOSOLIMEJ ,mercado ,EN EL MERCADO O TIANGUIS,CADA 2 MESES,CADA 2 MESES, 1 KILO ,03/05/2018 15:27,10/08/2017 17:05,0.016438
1445,136,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,YOGHURT,,tienda ,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 2 MESES ,CADA 2 MESES,1 KG ,03/05/2018 15:27,10/08/2017 18:10,0.016438
1953,152,COMPRA,PESCADOS,Non,MOJARRAS,CHAMAKITI,TIANGüIS,EN EL MERCADO O TIANGUIS,CADA 2 MESES,CADA 2 MESES,,03/05/2018 15:27,11/08/2017 04:11,0.016438
2011,166,COMPRA,PESCADOS,Non,PESCADO,MICHIMEJ,rio ,RIO,CADA 2 MESES,CADA 2 MESES,,03/05/2018 15:27,24/07/2017 18:21,0.016438
2024,168,COMPRA,CARNE,Non,CARNE DE PUERCO,PITSONAKATL,TIANGUIS,EN EL MERCADO O TIANGUIS,CADA 2 MESES ,CADA 2 MESES,,03/05/2018 15:27,24/07/2017 20:22,0.016438
2026,169,COMPRA,CARNE,Non,CARNE DE RES,TORRONAKATL,TIANGUIS,EN EL MERCADO O TIANGUIS,CADA 2 MESES ,CADA 2 MESES,,03/05/2018 15:27,24/07/2017 21:00,0.016438
341,36,COMPRA,CARNE,Non,CARNE DE CERDO,PITSONAKATL,,,CADA 5 MESES,CADA 3 a 5 MESES,,03/05/2018 14:42,20/07/2017 15:56,0.010958
343,36,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,SARDINAS,,,,CADA TRES MESES,CADA 3 a 5 MESES,,03/05/2018 14:42,20/07/2017 15:58,0.010958
